,Название,Описание,Цена,words
0,"Наборы спортивного питания~Комбо-набор Mad God of Whey 1000 г + Mad BCAA Extasy 500 г~Комбо-набор Mad God of Whey 1000 г + Mad BCAA Extasy 500 г, Вкус на выбор","MAD DRUGS GOD OF WHEY.Размер порции: 2 мерные ложки (33 г)Порций в упаковке: 30Способ применения и дозировка: употреблять взрослым 1 порцию (2 мерные ложки = 33 г сухого продукта) с 250-300 мл (концентрация влияет на вкус продукта) холодной питьевой воды или обезжиренного молока в стакане или шейкере.Уровень потребления белка не должен превышать 2г/кг массы тела в сутки.Состав: концентрат сывороточного белка, эмульгатор – лецитин, ароматизатор пищевой, подсластитель – сукралоза.Продукт содержит в среднем:*процент от рекомендуемого уровня суточного потребления согласно ТР ТС 022/2011 «Пищевая продукция в части её маркировки», Приложение 2. Основан на диете в 2500 ккал.Противопоказания:Индивидуальная непереносимость ингредиентов. Не рекомендуется принимать детям до 18 лет, беременным и в период лактации.MAD DRUGS, BCAA INSTANT EXTASYРоссийская компания MAD смогла разработать уникальные вкусовые бомбы, которые станут прекрасным дополнением любой тренировки.Сочетание 2:1:1 выбрано не случайно. Лейцин - самая большая незаменимая аминокислота в организме. При ее недостатке или отсутствии активизируются дегенеративные процессы, влияющие на рост и развитие миофибрилла.Главные преимущества лейцина:- Регуляция уровня сахара в крови;- Ускорение восстановительных процессов;- Обеспечение азотистого баланса;- Повышение интенсивности тренировок.На втором месте заслуженно оказывается изолейцин – незаменимая аминокислота, которая не синтезируется в организме. Начинающие спортсмены часто пренебрегают высокобелковыми продуктами, а потому EXTASY BCAA помогает восполнить дисбаланс.Изолейцин имеет большой функционал:- Обеспечение синтеза гемоглобина;- Ускорение регенерации эпидермиса;- Нормализация метаболических процессов в мышечных тканях.Валин – незаменимая аминокислота, которая усиливает воздействие других компонентов и участвует в регуляции азотистого баланса. Считаясь глюкоаминокислотой, валин снабжает организм дополнительной глюкозой.Каждый, кто хоть раз попробовал MAD EXTASY BCAA, больше не захочет менять свои вкусовые пристрастия. Доступная цена и высокая эффективность позволяют продукту на равных конкурировать c заграничными аналогами.Размер порции: 1 мерная ложка (5 г)Порций в упаковке: 100Способ применения и дозировка: смешайте 1 порцию BCAA С 150-250 мл (концентрация влияет на вкус продукта) питьевой воды. Перемешать или взболтать и употреблять во время тренировки или в течение дня.Состав: BCAA Instant (Лейцин, Изолейцин, Валин), ароматизатор пищевой, регулятор кислотности – лимонная кислота, подсластитель (сукралоза), краситель пищевой.Продукт содержит:*Процент от рекомендуемого уровня суточного потребления согласно ТР ТС 022/2011 «Пищевая продукция в части её маркировки».",2200,"вкус_NOUN,спортивный_ADJ,выбор_NOUN,питание_NOUN,набор_NOUN"
1,"Наборы спортивного питания~Комбо-набор 2 Ligandrol по 30 капсул, Frog Tech~Комбо-набор 2 Ligandrol по 30 капсул, Frog Tech, 2 банки","Спортивное питание FrogTechLigandrol (Лигандрол) LGD-4033 от Frog TechСостав: 30 капсул по 10мг лигандролТрендовая добавка в спортином питании, один из самых популярных SARMs( Selective androgen receptor modulator — селективные модуляторы андрогенных рецепторов) для увеличения силы и массы, не является стероидом, а является спортивным питанием. Разработан компанией Ligand Pharmaceuticals, для лечения мышечной атрофии и остеопороза. Время полураспада составляет 24-36 часов. По анаболическому действию в 4 раза превосходит аналоги. Для оптимального эффекта требуется принимать 1 капсулу в сутки(10 мг лигандрола) в течении 4-8 недель. Отсутствует отрицательное влияние на функции печени. Отсутствует феномен отката(все что вы наберете останется после отмены препарата)Эффекты и особенности:Применение:Употреблять по 1 капсуле(10мг) каждый день. Продолжительность курса не более 8 недель. Не следует превышать рекомендуемые дозировки. После курса лигандрола желателен курс ПКТ, в качестве основы курса рекомендуем использовать трибулус.",2890,"спортивный_ADJ,питание_NOUN,капсула_NOUN,банка_NOUN,набор_NOUN"
2,"Наборы спортивного питания~Комбо-набор Ligandrol 30 капсул + Ibutamoren 30 капсул Frog Tech~Комбо-набор Ligandrol 30 капсул + Ibutamoren 30 капсул Frog Tech, 2 банки","Спортивное питание FrogTechIbutamoren (Ибутаморен) MK-677 от Frog TechСостав: 30 капсул по 25 мг ибутаморенаМК-677 (Ibutamoren) – это препарат спортивного питания, мощный, перорально активный стимулятор секреции гормона роста (ГР), имитирующий действие эндогенного грелина (грелиномиметик).Ibutamoren является спортивным питанием, а с научной точки зрения непептидным спиропиперидином, функционально подобным GHRP-6. МК-677 стимулирует высвобождение гормона роста путем воздействия на гипофизарные и гипоталамические рецепторы GHRP (а не на рецепторы, высвобождающие гормон роста (GHRH)) и способен поддерживать плазменные уровни ГР и высвобождение ИФР-I, не оказывая влияния на эндогенный кортизол.?Было доказано, что вещество может способствовать увеличению мышечной массы и минеральной плотности костной ткани, и, следовательно, может использоваться для лечения хрупкости костей у пожилых людей. Кроме того, MK-677 изменяет метаболизм жиров в организме и может использоваться для лечения ожирения.MK-677 способен полностью изменять катаболизм белка, вызванный диетическим ограничением калорийности (степень стимуляции гормона роста является достаточной для улучшения баланса азота).?У здоровых взрослых мужчин, Ибутаморен является более эффективным средством, по сравнению с GHRH (соматотропин-рилизинг-гормоном). После перорального применения дозы 25 мг, Ибутаморен производит среднюю пиковую концентрацию ГР, равную 22.1мкг/л, а при более высоких дозировках еще более высокие уровни пиковой концентрации. При этом, продолжительность стимуляции гормона роста после однократного приема составляет около 24 часов. Подобная продолжительность выработки гормона роста очень эффективна для стимуляции выработки инсулино-подобного фактора роста-1, но негативно сказывается на рецепторах: происходит down-регуляция инсулиновых, грелиновых рецепторов и рецепторов гормона роста, которая обусловлена развитием резистентности и толерантности к данному веществу. В силу этого, при каждодневном приеме MK-677 реакция стимуляции ГР ослабевает уже на 4 день. Через неделю выработка ГР в ответ на прием МК-677 почти полностью прекращается и это можно рассматривать как основной минус данного препарата. Исходя из этого применять данный препарат стоит 4 через или 7 через 7 дней, для максимального эффекта.Данный препарат спортивного питания представляет собой мощный не пептидный орально активный стимулятор гормона роста. Так же стоит заметить, что данный препарат уже внесен в список запрещенных препаратов Всемирного Антидопингового Агентства (WADA), и также, ввиду длинного периода полураспада данный препарат очень легко ловится на допинг-контроле.Эффекты и особенности:Применение:Употреблять по 1 капсуле(25мг) 4 или 7 дней после следует отдыхать 4-7 дней. Не следует превышать дозировку в 50мг в день.Ligandrol (Лигандрол) LGD-4033 от Frog TechСостав: 30 капсул по 10мг лигандролТрендовая добавка в спортином питании, один из самых популярных SARMs( Selective androgen receptor modulator — селективные модуляторы андрогенных рецепторов) для увеличения силы и массы, не является стероидом, а является спортивным питанием. Разработан компанией Ligand Pharmaceuticals, для лечения мышечной атрофии и остеопороза. Время полураспада составляет 24-36 часов. По анаболическому действию в 4 раза превосходит аналоги. Для оптимального эффекта требуется принимать 1 капсулу в сутки(10 мг лигандрола) в течении 4-8 недель. Отсутствует отрицательное влияние на функции печени. Отсутствует феномен отката(все что вы наберете останется после отмены препарата)Эффекты и особенности:Применение:Употреблять по 1 капсуле(10мг) каждый день. Продолжительность курса не более 8 недель. Не следует превышать рекомендуемые дозировки. После курса лигандрола желателен курс ПКТ, в качестве основы курса рекомендуем использовать трибулус.",3990,"спортивный_ADJ,питание_NOUN,капсула_NOUN,банка_NOUN,набор_NOUN"
3,"Наборы спортивного питания~Комбо-набор 2 Ligandrol по 60 капсул, Frog Tech~Комбо-набор 2 Ligandrol по 60 капсул, Frog Tech, 2 банки","Спортивное питание FrogTechLigandrol (Лигандрол) LGD-4033 от Frog TechСостав: 60 капсул по 10мг лигандролТрендовая добавка в спортином питании, один из самых популярных SARMs( Selective androgen receptor modulator — селективные модуляторы андрогенных рецепторов) для увеличения силы и массы, не является стероидом, а является спортивным питанием. Разработан компанией Ligand Pharmaceuticals, для лечения мышечной атрофии и остеопороза. Время полураспада составляет 24-36 часов. По анаболическому действию в 4 раза превосходит аналоги. Для оптимального эффекта требуется принимать 1 капсулу в сутки(10 мг лигандрола) в течении 4-8 недель. Отсутствует отрицательное влияние на функции печени. Отсутствует феномен отката(все что вы наберете останется после отмены препарата)Эффекты и особенности:Применение:Употреблять по 1 капсуле(10мг) каждый день. Продолжительность курса не более 8 недель. Не следует превышать рекомендуемые дозировки. После курса лигандрола желателен курс ПКТ, в качестве основы курса рекомендуем использовать трибулус.",4990,"спортивный_ADJ,питание_NOUN,капсула_NOUN,банка_NOUN,набор_NOUN"
4,"Наборы спортивного питания~Комбо-набор Ligandrol 60 капсул + Ibutamoren 30 капсул Frog Tech~Комбо-набор Ligandrol 60 капсул + Ibutamoren 30 капсул Frog Tech, 2 банки","Спортивное питание FrogTechIbutamoren (Ибутаморен) MK-677 от Frog TechСостав: 30 капсул по 25 мг ибутаморенаМК-677 (Ibutamoren) – это препарат спортивного питания, мощный, перорально активный стимулятор секреции гормона роста (ГР), имитирующий действие эндогенного грелина (грелиномиметик).Ibutamoren является спортивным питанием, а с научной точки зрения непептидным спиропиперидином, функционально подобным GHRP-6. МК-677 стимулирует высвобождение гормона роста путем воздействия на гипофизарные и гипоталамические рецепторы GHRP (а не на рецепторы, высвобождающие гормон роста (GHRH)) и способен поддерживать плазменные уровни ГР и высвобождение ИФР-I, не оказывая влияния на эндогенный кортизол.?Было доказано, что вещество может способствовать увеличению мышечной массы и минеральной плотности костной ткани, и, следовательно, может использоваться для лечения хрупкости костей у пожилых людей. Кроме того, MK-677 изменяет метаболизм жиров в организме и может использоваться для лечения ожирения.MK-677 способен полностью изменять катаболизм белка, вызванный диетическим ограничением калорийности (степень стимуляции гормона роста является достаточной для улучшения баланса азота).?У здоровых взрослых мужчин, Ибутаморен является более эффективным средством, по сравнению с GHRH (соматотропин-рилизинг-гормоном). После перорального применения дозы 25 мг, Ибутаморен производит среднюю пиковую концентрацию ГР, равную 22.1мкг/л, а при более высоких дозировках еще более высокие уровни пиковой концентрации. При этом, продолжительность стимуляции гормона роста после однократного приема составляет около 24 часов. Подобная продолжительность выработки гормона роста очень эффективна для стимуляции выработки инсулино-подобного фактора роста-1, но негативно сказывается на рецепторах: происходит down-регуляция инсулиновых, грелиновых рецепторов и рецепторов гормона роста, которая обусловлена развитием резистентности и толерантности к данному веществу. В силу этого, при каждодневном приеме MK-677 реакция стимуляции ГР ослабевает уже на 4 день. Через неделю выработка ГР в ответ на прием МК-677 почти полностью прекращается и это можно рассматривать как основной минус данного препарата. Исходя из этого применять данный препарат стоит 4 через или 7 через 7 дней, для максимального эффекта.Данный препарат спортивного питания представляет собой мощный не пептидный орально активный стимулятор гормона роста. Так же стоит заметить, что данный препарат уже внесен в список запрещенных препаратов Всемирного Антидопингового Агентства (WADA), и также, ввиду длинного периода полураспада данный препарат очень легко ловится на допинг-контроле.Эффекты и особенности:Применение:Употреблять по 1 капсуле(25мг) 4 или 7 дней после следует отдыхать 4-7 дней. Не следует превышать дозировку в 50мг в день.Ligandrol (Лигандрол) LGD-4033 от Frog TechСостав: 60 капсул по 10мг лигандролТрендовая добавка в спортином питании, один из самых популярных SARMs( Selective androgen receptor modulator — селективные модуляторы андрогенных рецепторов) для увеличения силы и массы, не является стероидом, а является спортивным питанием. Разработан компанией Ligand Pharmaceuticals, для лечения мышечной атрофии и остеопороза. Время полураспада составляет 24-36 часов. По анаболическому действию в 4 раза превосходит аналоги. Для оптимального эффекта требуется принимать 1 капсулу в сутки(10 мг лигандрола) в течении 4-8 недель. Отсутствует отрицательное влияние на функции печени. Отсутствует феномен отката(все что вы наберете останется после отмены препарата)Эффекты и особенности:Применение:Употреблять по 1 капсуле(10мг) каждый день. Продолжительность курса не более 8 недель. Не следует превышать рекомендуемые дозировки. После курса лигандрола желателен курс ПКТ, в качестве основы курса рекомендуем использовать трибулус.",4990,"спортивный_ADJ,питание_NOUN,капсула_NOUN,банка_NOUN,набор_NOUN"
5,"Наборы спортивного питания~Комбо-набор 2 мультипротеина Multi Pro + банка Bcaa-PRO 250 г~Комбо-набор 2 мультипротеина Multi Pro + банка Bcaa-PRO 250 г, 2+1","Акция действует только пока товар есть в наличии. Количество промо-наборов ограниченно. При покупке двух протеинов Multi-PRO банка BCAA-Pro 250 г в подарок. Вкусы можно выбирать исходя из наличия.Мультикомпонентный протеин Multi Pro от Geneticlab Nutrition имеет уникальный аминокислотный состав благодаря комплексу из яичного альбумина, мицеллярного казеина и сывороточного протеина, в соотношении, оптимального для усвоения организмом. Multi Pro благодаря своему составу усваивается постепенно, аминокислоты поступают в плазму крови поэтапно и дают постоянную подпитку организму на протяжении нескольких часов, защищая организм от катаболизма, дает чувство насыщения, улучшает восстановление, обмен веществ и положительно сказывается на всех системах организма. Multi Pro обладает приятным вкусом и легко растворяется.Порций в упаковке: 30В одной порции (33 гр):Применение: можно есть с любой едой, чтобы увеличить содержание белка. Так же между приемами пищи, перед и после тренировки, в зависимости от Вашей потребности в белке и диеты. Употребляйте одну-четыре порции в день.Противопоказания: индивидуальная непереносимость ингридиентов. Не рекомендуется употреблять беременным и в период лактации. Продолжительность приема не ограничена.",2858,"набор_NOUN,спортивный_ADJ,банк_NOUN,питание_NOUN"
6,"Наборы спортивного питания~Комбо-набор 2 BCAA 500 г + 2 BCAA 250 г, GeneticLab~Комбо-набор 2 BCAA 500 г + 2 BCAA 250 г, GeneticLab, 1500 грамм","BCAA - незаменимые аминокислоты с разветвленными цепочками, которые не синтезируются организмом человека и могут поступать только извне, например, с пищей или специальными добавками. Аминокислоты метаболируются в мышцах после поступления в организм. GeneticLab BCAA - комплекс, который состоит из трех аминокислот:- лейцина;- валина;- изолейцина.Незаменимые аминокислоты составляют треть всех аминокислот в мышцах. Они дают анаболический и антикатаболический эффект, способствуя росту мышц и предотвращая распад белка.Для чего нужно принимать BCAAGeneticLab BCAA - комплекс аминокислот, который будет незаменим как для бодибилдера, так и для спортсмена, который занимается аэробными тренировками. Незаменимые аминокислоты могут:Содержание одной порции 5 г :Энергетическая ценность (на 100 г продукта): 87,2 кДж/20,8 ккалCостав: Лейцин, Изолейцин, Валин, лецитин (соевый), ароматизатор, лимонная кислота, подсластитель (сукралоза).Кроме того, BCAA ГенетикЛаб усиливает эффект от приема спортивного питания. Эффективность любых спортивных добавок повышается. Именно поэтому, покупая протеин, гейнеры и различные добавки, не надо забывать о баночке BCAA.БЦАА ГенетикЛаб выполняет несколько функций. В частности, аминокислоты подавляют катаболические процессы, сохраняя мышечную массу. После интенсивных тренировок результат становится более ощутимым.Как принимать аминокислотыПрочитав о GeneticLab BCAA отзывы, вы можете тоже решить употреблять аминокислоты с разветвленными цепями. Главное - принимать спортивную добавку правильно. Некоторые спортсмены употребляют BCAA сразу перед тренировкой - это ошибка. Аминокислоты не успеют усвоиться, потому что во время занятий спортом пищеварительная функция отключается.Лучше принимать состав утром, сразу после тренировки или во время тренировки. Утренний прием подготовит организм к нагрузкам, мышцы получат необходимый уровень аминокислот.Принимать аминокислоты можно 1-3 раза в день.",3050,"грамм_NOUN,набор_NOUN,спортивный_ADJ,питание_NOUN"
7,"Наборы спортивного питания~Комбо-набор 2 Impact Whey Protein по 1000 г + Daily Vitamins MyProtein~Комбо-набор 2 Impact Whey Protein по 1000 г + Daily Vitamins MyProtein, 2+1","Почему был разработан Impact Whey Protein?В течении дня ваша мышечная ткань постоянно подвергается распаду (катаболизму) и восстановлению (анаболизму). Однако, когда вы тренируетесь или соревнуетесь, скорость катаболизма увеличивается. Поэтому вам нужно регулярно потреблять протеин, чтобы помочь в производстве и восстановлении поврежденных мышечных волокон. Это ускорит ваше восстановление и спортивную производительность.Как был разработан Impact Whey Protein?Impact Whey Protein сделан из сыворотки премиального качества из молока коров, питающихся свежей травой. Он содержит впечатляющие 21 гр белка в порции. Имея в своем составе все незаменимые аминокислоты, Impact Whey Protein содержит также 4.5 гр BCAA и 3.6 гр глютамина на порцию, при этом очень легко растворяясь. Продукт содержит всего 1.9 гр жира и 1 гр углеводов на порцию. Проще говоря, если вы ищете сывороточный протеин с гарантированным качеством и исключительно выгодным соотношением цены и эффективности в сочетании с выдающимся составом по макронутриентам, то это – то, что нужно!Каковы ключевые преимущества сывороточного протеина?Impact Whey Protein – это удобный способ гарантировать, что ваши мышцы получат достаточное количество протеина высокого качества в течении дня. Высокое содержание белка в этом продукте будет способствовать росту и поддержанию мышечной массы. С 103 ккал в порции, наш сывороточный протеин – идеальный помощник широкого круга атлетов, будь то любители, опытные или сверхопытные спортсмены. Продукт выпускается в более, чем 50 вкусах, так что в этой линейке каждый найдет что-то подходящее.Подходит ли мне этот продукт?Impact Whey Protein подходит любому, кто ведет активный образ жизни и хочет выполнить норму ежедневного потребления протеина. Являетесь ли вы атлетом элитного уровня, или, например, занимаетесь функциональным тренингом «чисто для себя», протеин является чрезвычайно важным компонентом в питании любого человека ввиду его ведущей роли в росте и восстановлении мышц.Рекомендации по применению:Добавьте 1 большую мерную ложку продукта (25 гр) к воде или молоку и размешайте в шейкере MyProtein. Для получения максимальной пользы выпейте за 30 минут перед тренировкой и/или после нее.Как вариант, употребить в качестве перекуса или между приемами пищи в течении дня для увеличения потребления протеина.При употреблении в качестве белка перед сном мы рекомендуем растворять продукт в молоке для снижения скорости усвоения.Пищевая ценность:Размер порции - 1 мерная ложка (25 гр)Порций в упаковке - 40Пищевая ценность на порцию:",3250,"набор_NOUN,спортивный_ADJ,питание_NOUN"
8,"Наборы спортивного питания~Gold-Standart.com, Подарочный Сертификат, 2000 рублей~Gold-Standart.com, Подарочный Сертификат, 2000 рублей, 1230000020442",,2000,"спортивный_ADJ,подарочный_ADJ,питание_NOUN,рубль_NOUN,набор_NOUN,сертификат_NOUN"
9,"Наборы спортивного питания~Gold-Standart.com, Подарочный Сертификат, 5000 рублей, Россия~Gold-Standart.com, Подарочный Сертификат, 5000 рублей, Россия, 1230000020527",,5000,"спортивный_ADJ,подарочный_ADJ,питание_NOUN,рубль_NOUN,россия_NOUN,набор_NOUN,сертификат_NOUN"
