,Название,Описание,Цена,words
0,Одежда~Брюки~Утепленные брюки~Брюки SIVERA Сулица 4.1,"Женские мембранные штаны на синтетическом утеплителе Climashield Apex для города и путешествий.
Сулица 4.1 может использоваться как ходовой слой или дополнительное утепление при минусовых температурах.
Водонепроницаемый, мембранный ламинат D’fusion Classic обеспечивает защиту от непогоды при сохранении хорошей паропроницаемости, а также обладает высокой прочностью.
Новая версия Сулица 4.1 сохранит основные преимущества прошлой модификации, включая возможность использования поясного ремня. В тоже время, за счет изменения технологий работы с утеплителем, будет несколько улучшен внешний вид изделия.
Универсальный дизайн в сочетании с удобным кроем позволяет использовать эти штаны не только в спортивных мероприятиях, но и в городских условиях, что делает их универсальными и практичными.",6440,"брюки_NOUN,сулица_NOUN,одежда_NOUN"
1,Одежда~Куртки~Мембранные куртки~Куртка The North Face Keiryo diad II,"Легкая и компактная куртка для для защиты от непогоды в виде дождя и ветра. 
Она обеспечит защиту от переменчивых погодных условий, так как она оснащена мембраной DryVent™ 2.5L. 
Куртка хорошо «дышит» при высокой активности, но если стало совсем жарко, то можно легко проветриться, открыв вентиляционные молнии по бокам.",17900,"мембранный_ADJ,куртка_NOUN,одежда_NOUN"
2,Снаряжение для промышленного альпинизма~Сидушки для промышленного альпинизма~Рабочее сидение PETZL PODIUM,"Рабочее сиденье PODIUM обеспечивает комфорт при долгой работе в безопорном положении. Широкое сиденье гарантирует отличную устойчивость. Жесткие боковины ограничивают давление ремней на ноги. Сиденье снабжено двумя грузовыми петлями и карабином для удобного закрепления сиденья при передвижении.

Комфорт при долгой работе в безопорном положении:
- отличная устойчивость благодаря широкому сиденью;
- жесткие боковые части не дают ремням сиденья давить на ноги;

Просто в использовании:
- длина строп регулируется самоблокирующимися пряжками DoubleBack;
- две петли в защитной оболочке для развески снаряжения;
- в задней части сиденья расположен карабин для закрепления сиденья при передвижении;",13700,"снаряжение_NOUN,промышленный_ADJ,рабочий_ADJ,альпинизм_NOUN,сидение_NOUN"
3,Альпинизм и скалолазание~Страховочные системы~Нижние системы~Беседка PETZL AQUILA,"Очень комфортная обвязка для продвинутого лазания в зале и на скалах, а также для маршрутов мультипитч. Регулируемые ножные обхваты позволяют легко и быстро изменять размер обвязки и использовать ее в любой сезон. Конструкция FUSEFRAME: тонкий и эластичный поясной ремень для полной свободы движений при минимальном весе. Четыре развесочные петли позволят разместить все необходимое снаряжение. Точки ввязывания сделаны из высокомодульного полиэтилена, имеют повышенную износостойкость к трению и увеличивают срок службы обвязки.

Максимальный комфорт для длительного зависания и для людей полной комплекции:
- широкий поясной ремень адаптирован под людей полной комплекции и для оптимального распределения веса
- конструкция FUSEFRAME: тонкий и эластичный поясной ремень для полной свободы движений при минимальном весе обвязки
- пряжки DoubleBack HD на ножных обхватах для быстрой регулировки под любое телосложение и сезонную одежду
- эластичная стропа между ножными обхватами для максимального комфорта при лазании

Оптимизированная система для переноски снаряжения:
- две жёстких разгрузочных петли увеличенного размера спереди для переноски большого количества снаряжения и для удобного вщелкивания/выщелкивания карабинов
- две разгрузочные петли сзади для переноски дополнительного снаряжения сделаны из мягкого материала и не мешаются под рюкзаком
- одна петля сзади для вытягивания веревки
- две точки для крепления развесочных карабинов CARITOOL

Повышенная износостойкость:
- усиленные точки ввязывания сделаны из высокомодульного полиэтилена (HMPE), для повышения износостойкости при трении о веревку
- пряжки DoubleBack HD на поясе и ножных обхватах сделаны из штампованного алюминия и обеспечивают надежную фиксацию и мягкую регулировку
- прочный, устойчивый к истиранию внешний материал",9160,"нижний_ADJ,скалолазание_NOUN,альпинизм_NOUN,страховочный_ADJ,система_NOUN,беседка_NOUN"
4,Снаряжение для промышленного альпинизма~Спусковые и страховочные устройства~Амортизаторы рывка~Амортизатор рывка PETZL Asap Sorber International version 40 см,"Самостраховка ASAP’SORBER International используется для соединения страховочной обвязки с мобильным страховочным устройством ASAP или ASAP LOCK. Самостраховка позволяет вынести страховочную веревку из рабочей зоны. 
Амортизатор хранится в специальном мешочке с молнией — это защищает его от истирания, предохраняет от развертывания и спутывания и позволяет регулярно проверять состояние стропы. 
Выпускается в двух размерах для достижения оптимального соотношения между расстоянием до страховочной веревки и глубиной падения",3090,"снаряжение_NOUN,устройство_NOUN,спусковой_ADJ,промышленный_ADJ,рывок_NOUN,альпинизм_NOUN,страховочный_ADJ,амортизатор_NOUN,см_NOUN"
5,Альпинизм и скалолазание~ИТО~Скайхуки и фифы~Клюв KRUKONOGI.Com Ice Pick for Universal Titanium FiFi,Клюв для универсальной титановой фифы. Подходит для ледопадов и соревнований.,3150,"фифа_NOUN,скалолазание_NOUN,альпинизм_NOUN,клюв_NOUN,ито_NOUN"
6,"Альпинизм и скалолазание~ИТО~Скайхуки и фифы~Титановая Фифа KRUKONOGI.COM для Льда и Скал ""Барс""",Универсальная фифа для ледолазания и драйтулинга и прочного авиационного титана.,11340,"фифа_NOUN,лед_NOUN,скалолазание_NOUN,барс_NOUN,альпинизм_NOUN,титановый_ADJ,скала_NOUN,ито_NOUN"
7,Походное снаряжение~Спальные мешки~Пуховые спальные мешки~Спальник Red Fox Yeti SR -17C,"Серия теплых пуховых спальных мешков, рассчитанных на использование при очень низких темпе- ратурах во время высотных альпинистских восхождений и зимних альпинистских экспедиций. 
Благодаря применению натурального гусиного пуха высочайшей степени качества (F.P. 650+) изделия обладают исключительными согревающими свойствами, отличаются эргономичностью и компактностью. 
Влагозащитное покрытие наружного материала дополнительно защищает спальные мешки от сырости. 
Специальная конструкция нижней части изделий обеспечивает естественное положение стоп и сохранение тепла. 
На капюшоне продуманы «чувствительные» шнуры, круглый и плоский, для регулировки в темноте.",9900,"снаряжение_NOUN,спальник_NOUN,спальный_ADJ,мешок_NOUN,походный_ADJ,пуховой_ADJ"
8,Одежда~Куртки~Городские куртки~Куртка Red Fox Yuki II,Женская пуховая куртка-рубашка.,7800,"городской_ADJ,куртка_NOUN,одежда_NOUN"
9,Одежда~Куртки~Городские куртки~Куртка Red Fox Kami II,Мужская пуховая куртка-рубашка.,8500,"городской_ADJ,куртка_NOUN,одежда_NOUN"
